hgnc_symbol	description	Protein.families	all_sc_proteomics	ND_islet_proteomics	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
DLK1	delta like non-canonical Notch ligand 1	NA	NA	NA	NA	NA
EBI3	Epstein-Barr virus induced 3	Type I cytokine receptor family, Type 3 subfamily	NA	NA	NA	NA
EDA	ectodysplasin A	Tumor necrosis factor family	NA	NA	NA	NA
EDIL3	EGF like repeats and discoidin domains 3	NA	11138.15	33332.85	0.3341494	2.96e-10
EDN1	endothelin 1	Endothelin/sarafotoxin family	NA	NA	NA	NA
EDN2	endothelin 2	Endothelin/sarafotoxin family	NA	NA	NA	NA
EDN3	endothelin 3	Endothelin/sarafotoxin family	24023.36	34498.09	0.6963678	0.0182
EFNA1	ephrin A1	Ephrin family	NA	NA	NA	NA
EFNA4	ephrin A4	Ephrin family	NA	NA	NA	NA
EGF	epidermal growth factor	NA	NA	NA	NA	NA
ENHO	energy homeostasis associated	NA	NA	NA	NA	NA
EPGN	epithelial mitogen	NA	NA	NA	NA	NA
EPO	erythropoietin	EPO/TPO family	NA	NA	NA	NA
EREG	epiregulin	NA	NA	NA	NA	NA
FASLG	Fas ligand	Tumor necrosis factor family	NA	NA	NA	NA
FGF1	fibroblast growth factor 1	Heparin-binding growth factors family	NA	NA	NA	NA
FGF10	fibroblast growth factor 10	Heparin-binding growth factors family	NA	NA	NA	NA
FGF11	fibroblast growth factor 11	Heparin-binding growth factors family	NA	NA	NA	NA
FGF12	fibroblast growth factor 12	Heparin-binding growth factors family	NA	NA	NA	NA
FGF13	fibroblast growth factor 13	Heparin-binding growth factors family	NA	NA	NA	NA
FGF14	fibroblast growth factor 14	Heparin-binding growth factors family	NA	NA	NA	NA
FGF16	fibroblast growth factor 16	Heparin-binding growth factors family	NA	NA	NA	NA
FGF17	fibroblast growth factor 17	Heparin-binding growth factors family	NA	NA	NA	NA
FGF18	fibroblast growth factor 18	Heparin-binding growth factors family	NA	NA	NA	NA
FGF19	fibroblast growth factor 19	Heparin-binding growth factors family	NA	NA	NA	NA
FGF2	fibroblast growth factor 2	Heparin-binding growth factors family	3119.08	5418.85	0.5755989	9.81e-4
FGF20	fibroblast growth factor 20	Heparin-binding growth factors family	NA	NA	NA	NA
FGF21	fibroblast growth factor 21	Heparin-binding growth factors family	NA	NA	NA	NA
FGF22	fibroblast growth factor 22	Heparin-binding growth factors family	NA	NA	NA	NA
FGF23	fibroblast growth factor 23	Heparin-binding growth factors family	NA	NA	NA	NA
FGF3	fibroblast growth factor 3	Heparin-binding growth factors family	NA	NA	NA	NA
FGF4	fibroblast growth factor 4	Heparin-binding growth factors family	NA	NA	NA	NA
FGF5	fibroblast growth factor 5	Heparin-binding growth factors family	NA	NA	NA	NA
FGF6	fibroblast growth factor 6	Heparin-binding growth factors family	NA	NA	NA	NA
FGF7	fibroblast growth factor 7	Heparin-binding growth factors family	NA	NA	NA	NA
FGF8	fibroblast growth factor 8	Heparin-binding growth factors family	NA	NA	NA	NA
FGF9	fibroblast growth factor 9	Heparin-binding growth factors family	NA	NA	NA	NA
FLT3LG	fms related receptor tyrosine kinase 3 ligand	NA	NA	NA	NA	NA
FSHB	follicle stimulating hormone subunit beta	Glycoprotein hormones subunit beta family	NA	NA	NA	NA
GAL	galanin and GMAP prepropeptide	Galanin family	NA	NA	NA	NA
GALP	galanin like peptide	Galanin family	NA	NA	NA	NA
GAS6	growth arrest specific 6	NA	2784.06	2726.53	1.0211006	0.94
GAST	gastrin	Gastrin/cholecystokinin family	NA	NA	NA	NA
GCG	glucagon	Glucagon family	548666.19	423413.24	1.2958173	0.00884
GDF1	growth differentiation factor 1	TGF-beta family	NA	NA	NA	NA
GDF10	growth differentiation factor 10	TGF-beta family	NA	NA	NA	NA
GDF11	growth differentiation factor 11	TGF-beta family	NA	NA	NA	NA
GDF15	growth differentiation factor 15	TGF-beta family	5648.12	6197.9	0.911295	0.394
GDF2	growth differentiation factor 2	TGF-beta family	NA	NA	NA	NA
GDF3	growth differentiation factor 3	TGF-beta family	NA	NA	NA	NA
