Protein.Group	Protein.Ids	Genes	proteomics_stem_cell_all	proteomics_stem_cell_sorted	proteomics_stem_cell_unsorted	proteomics_pooled	proteomics_human_islets
O00592	O00592	PODXL	14905.4	15606.8	14554.7	48822.5	50479.5
O00602	O00602	FCN1	2412.8	2570.1	2334.1	7663.7	4001.6
O00622	O00622	CCN1	7131.4		7131.4	3265.3	5577.3
O00623	O00623	PEX12	3186.5	2495.7	3474.3	2285.1	4114.6
O00625	O00625	PIR	11625.7	10361.5	12257.8	24751.3	28277.1
O00629	O00629	KPNA4	22976.8	20643.2	24143.6	17460.5	18002.3
O00635	O00635	TRIM38	1769.4		1769.4	2816.2	2507.9
O00712	O00712	NFIB	5605.3		5605.3	13073.9	7966
O00743	O00743	PPP6C	18674.3	19473.3	18274.8	9010.5	16504.3
O00748	O00748	CES2	2142	2210.6	2112.6	5839.3	3351.9
O00750	O00750	PIK3C2B	2488.6	2819.7	2323.1	1341.9	1789.6
O00754	O00754	MAN2B1	45825.9	32925.3	52276.2	26164.3	21538.4
O00757	O00757	FBP2	6199.6	6215.2	6191.1	80630.1	32071
O00763	O00763	ACACB	4090.1	5223	3781.1	19365.8	14540.8
O00764	O00764	PDXK	32905.9	31812.8	33452.5	69735.7	99587.7
O00767	O00767	SCD	13342.2	14574.7	12726	6020.3	12567.3
O14494	O14494	PLPP1	1109.7	1109.7			6393
O14495	O14495	PLPP3	2845.1	3121.7	2805.6	5763	4391.1
O14497	O14497	ARID1A	17025.5	16444.1	17316.2	10826.1	8998.1
O14508	O14508	SOCS2				670.5	345.7
O14521	O14521	SDHD	18624.7	15938.8	19967.7	7847.6	20566.8
O14523	O14523	C2CD2L	3239.6	3216.1	3251.4	2442.5	2732.8
O14524	O14524	NEMP1	3141.3	3606.9	2742.2	2796.3	3693.4
O14530	O14530	TXNDC9	7383.4	8226.2	6962	11499	9422.5
O14531	O14531	DPYSL4	63666.6	59269	65865.4	18362.5	7849
O14545	O14545	TRAFD1	5824.3	5777	5847.9	6578.8	4768.9
O14548	O14548	COX7A2L	26765.2	22872.5	28711.5	27642.2	20576.8
O14558	O14558	HSPB6	15565.2		15565.2	23067.3	27713.9
O14561	O14561	NDUFAB1	7094.5	5234.7	8024.4	10492.3	9479.2
O14562	O14562	UBFD1	37063.9	36425.1	37383.3	29071.2	25754.3
O14569	O14569	CYB561D2	5512	5680.5	5427.8	10165.4	9251
O14576	O14576	DYNC1I1	15673.4	17367.4	14826.4	52173	25272.8
O14579	O14579	COPE	49820.1	53487.6	47986.3	117635	75447.4
O14593	O14593	RFXANK	1683.2	1683.2			1193.4
