category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
ligand	ligand	OmniPath	generic	functional	composite	Q96DU3	SLAMF6	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	B4DJU5	NA	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P20061	TCN1	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9Y6Z7	COLEC10	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P24001	IL32	protein	3	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P09603	CSF1	protein	19	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P0DN87	CGB7	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O75610	LEFTY1	protein	5	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8WTQ1	DEFB104A	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	O95633	FSTL3	protein	1	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P01911	HLA-DRB1	protein	2	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q08345	DDR1	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P02778	CXCL10	protein	19	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9Y5Q6	INSL5	protein	16	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9P126	CLEC1B	protein	1	TRUE	FALSE	FALSE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q8N0V4	LGI2	protein	2	TRUE	FALSE	TRUE	FALSE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	Q9H461	FZD8	protein	1	TRUE	FALSE	TRUE	TRUE	FALSE
ligand	ligand	OmniPath	generic	functional	composite	P12644	BMP4	protein	21	TRUE	FALSE	TRUE	FALSE	FALSE
