Protein.Ids	Genes	sorted.avg	sorted.CV	sorted.%	unsorted.avg	unsorted.CV	unsorted.%	stem.mean	stem.CV	stem.%	ND.mean	ND.CV	ND.%	T2D.mean	T2D.CV	T2D.%	human.mean	human.CV	human.%
Q9UKK3	PARP4	3773.20	31	100	3440.39	31	100	3569.82	30	100	8334.23	35	100	12133.71	36.76242914	100	8762.74	37.82074734	100
Q9UKK9	NUDT5	31009.55	11	100	31160.11	8	100	31101.56	9	100	30677.06	10	100	30382.92	9.871971821	100	30643.89	9.75718887	100
Q9UKL0	RCOR1	6319.71	23	100	6703.25	14	100	6554.09	17	100	4164.71	18	99	4149.18	19.16272698	100	4162.95	18.14216763	99.2481203
Q9UKL6	PCTP	2559.45	36	100	2956.96	16	100	2802.37	24	100	2195.58	26	96	2166.96	27.04751368	100	2192.23	26.18985618	96.2406015
Q9UKM7	MAN1B1	14119.34	23	100	13382.04	23	100	13668.76	22	100	21631.43	14	100	17956.95	27.74695887	100	21217.02	16.71682336	100
Q9UKM9	RALY	110660.86	17	100	129395.17	11	100	122109.60	15	100	76392.21	12	100	88243.26	11.75440928	100	77728.80	13.03585831	100
Q9UKN8	GTF3C4	13734.62	14	100	15691.09	10	100	14930.24	13	100	10727.77	8	100	10951.96	8.177831	100	10753.05	8.075351581	100
Q9UKR5	ERG28	53601.84	26	100	48777.58	14	100	50653.68	20	100	34539.05	21	100	39467.15	20.65264523	100	35094.85	21.51409122	100
Q9UKS6	PACSIN3	8860.18	25	100	15504.99	36	100	12920.90	43	100	9695.02	22	100	10681.82	28.73201426	100	9806.31	22.71315077	100
Q9UKU0	ACSL6	2619.48	54	86	2698.06	38	64	2661.79	44	72	3574.49	27	100	4062.62	20.79410444	100	3629.54	26.51931216	100
Q9UKU7	ACAD8	24376.82	7	100	26101.84	12	100	25431.00	10	100	28016.66	18	100	24816.25	22.34950209	100	27655.71	18.79967012	100
Q9UKU9	ANGPTL2	515.95	26	100	657.12	64	100	602.22	57	100	2129.46	56	99	2434.98	72.7751995	100	2164.18	58.49343357	99.2481203
Q9UKV0	HDAC9	798.81	55	86	969.73	49	91	905.63	51	89	2190.97	89	58	1675.83	111.2851194	46.66666667	2143.52	90.02120898	57.14285714
Q9UKV3	ACIN1	33328.08	7	100	36462.87	12	100	35243.78	11	100	27149.12	11	100	29360.82	9.701683494	100	27398.56	10.73286495	100
Q9UKV5	AMFR	5054.17	5	100	4362.76	17	100	4631.64	15	100	7531.09	15	100	8384.56	17.21063229	100	7627.35	15.9058182	100
Q9UKV8	AGO2	17457.21	11	100	18573.08	8	100	18139.14	10	100	28695.76	9	100	28225.76	16.63560753	100	28642.75	10.39900698	100
Q9UKW4	VAV3	3684.57	114	86	2026.62	70	36	3021.39	111	56	2201.45	48	78	2318.51	43.7670977	66.66666667	2212.92	47.39556729	76.69172932
