Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
Q96QC0,Q96QC0,,PPP1R10,,3973.65
Q96QD9,Q96QD9,,FYTTD1,,5639.26
Q96QE2,Q96QE2,,SLC2A13,,12472
Q96QE5,Q96QE5,,TEFM,,1502.47
Q96QF0,Q96QF0,,RAB3IP,,1854.39
Q96QG7,Q96QG7,,MTMR9,,3707.01
Q96QK1,Q96QK1,,VPS35,,49282.5
Q96QR8,Q96QR8,,PURB,,22634
Q96QS3,Q96QS3,,ARX,,4279.88
Q96QT6,Q96QT6,,PHF12,,
Q96QU8,Q96QU8,,XPO6,,
Q96QZ7,Q96QZ7,,MAGI1,,6546.78
Q96RE7,Q96RE7,,NACC1,,1213.22
Q96RF0,Q96RF0,,SNX18,,8284.14
Q96RK0,Q96RK0,,CIC,,2095.56
Q96RK4,Q96RK4,,BBS4,,6801.85
Q96RL1,Q96RL1,,UIMC1,,97.493
Q96RL7,Q96RL7,,VPS13A,,3873.78
Q96RN5,Q96RN5,,MED15,,2121.58
Q96RP9,Q96RP9,,GFM1,,19812.3
Q96RQ1,Q96RQ1,,ERGIC2,,4671.1
Q96RQ3,Q96RQ3,,MCCC1,,22260.3
Q96RS6,Q96RS6,,NUDCD1,,7449.47
Q96RT1,Q96RT1,,ERBIN,,3429.81
Q96RT7,Q96RT7,,TUBGCP6,,2017.72
Q96RU2,Q96RU2,,USP28,,382.307
Q96RU3,Q96RU3,,FNBP1,,2265.25
Q96RY7,Q96RY7,,IFT140,,2992.8
Q96S06,Q96S06,,LMF1,,656.519
Q96S15,Q96S15,,WDR24,,3574.09
Q96S19,Q96S19,,METTL26,,11216.4
Q96S44,Q96S44,,TP53RK,,10325.3
Q96S52,Q96S52,,PIGS,,4145.75
Q96S55,Q96S55,,WRNIP1,,9468.52
Q96S59,Q96S59,,RANBP9,,3842.75
Q96S66,Q96S66,,CLCC1,,23386.9
Q96S82,Q96S82,,UBL7,,2033.84
Q96S90,Q96S90,,LYSMD1,,2445.2
Q96S94,Q96S94,,CCNL2,,743.109
Q96S97,Q96S97,,MYADM,,9367.74
Q96S99,Q96S99,,PLEKHF1,,2589.31
Q96SB3,Q96SB3,,PPP1R9B,,4982.89
Q96SB4,Q96SB4,,SRPK1,,5015.04
Q96SB8,Q96SB8,,SMC6,,1286.59
Q96SI9,Q96SI9,,STRBP,,3637.43
Q96SK2,Q96SK2,,TMEM209,,2490.37
Q96SL4,Q96SL4,,GPX7,,1055.71
Q96SL8,Q96SL8,,FIZ1,,
Q96ST2,Q96ST2,,IWS1,,11776.2
Q96ST3,Q96ST3,,SIN3A,,9609.05
Q96SU4,Q96SU4,,OSBPL9,,7096.64
Q96SW2,Q96SW2,,CRBN,,2380.6
Q96SY0,Q96SY0,,INTS14,,696.84
Q96SZ5,Q96SZ5,,ADO,,6752.3
Q96SZ6,Q96SZ6,,CDK5RAP1,,646.114
Q96T17,Q96T17,,MAP7D2,,630.803
Q96T23,Q96T23,,RSF1,,4591.64
Q96T37,Q96T37,,RBM15,,7012.36
Q96T51,Q96T51,,RUFY1,,39051.4
Q96T54,Q96T54,,KCNK17,,
Q96T58,Q96T58,,SPEN,,2985.45
Q96T60,Q96T60,,PNKP,,5646.7
Q96T66,Q96T66,,NMNAT3,,2594.75
Q96T76,Q96T76,,MMS19,,3455.35
Q96T83,Q96T83,,SLC9A7,,571.33
Q96TA1,Q96TA1,,NIBAN2,,29874.2
Q96TA2,Q96TA2,,YME1L1,,5811.68
Q96TC7,Q96TC7,,RMDN3,,6325.97
Q99417,Q99417,,MYCBP,,3064.03
Q99418,Q99418,,CYTH2,,4918.78
Q99426,Q99426,,TBCB,,23346.8
Q99436,Q99436,,PSMB7,,19491.9
Q99439,Q99439,,CNN2,,4783.29
Q99442,Q99442,,SEC62,,18163
Q99447,Q99447,,PCYT2,,14499.4
Q99453,Q99453,,PHOX2B,,
Q99459,Q99459,,CDC5L,,31589.4
Q99460,Q99460,,PSMD1,,19615.5
Q99470,Q99470,,SDF2,,2551.69
Q99471,Q99471,,PFDN5,,12383.9
Q99487,Q99487,,PAFAH2,,3956.79
Q99496,Q99496,,RNF2,,3120.95
Q99497,Q99497,,PARK7,,174959
Q99504,Q99504,,EYA3,,847.429
Q99519,Q99519,,NEU1,,7426.21
Q99523,Q99523,,SORT1,,11990.2
Q99536,Q99536,,VAT1,,483401
Q99538,Q99538,,LGMN,,850.73
Q99541,Q99541,,PLIN2,,
Q99543,Q99543,,DNAJC2,,5560.86
Q99547,Q99547,,MPHOSPH6,,2214.39
Q99549,Q99549,,MPHOSPH8,,3656.28
Q99567,Q99567,,NUP88,,13152.8
Q99569,Q99569,,PKP4,,2762.77
Q99570,Q99570,,PIK3R4,,6049.11
Q99571,Q99571,,P2RX4,,5444.1
Q99574,Q99574,,SERPINI1,,10969.4
Q99575,Q99575,,POP1,,4906.29
Q99581,Q99581,,FEV,,
Q99583,Q99583,,MNT,,1396.72
Q99584,Q99584,,S100A13,,4265.71
Q99590,Q99590,,SCAF11,,2002.56
Q99598,Q99598,,TSNAX,,18849.2
Q99608,Q99608,,NDN,,2170.5
Q99611,Q99611,,SEPHS2,,5948.78
Q99613,Q99613,,EIF3C,,38656.2
Q99614,Q99614,,TTC1,,14930.1
Q99615,Q99615,,DNAJC7,,11512.1
Q99622,Q99622,,C12orf57,,3199.49
Q99623,Q99623,,PHB2,,92696.6
Q99624,Q99624,,SLC38A3,,
Q99627,Q99627,,COPS8,,16224.4
Q99633,Q99633,,PRPF18,,956.157
Q99638,Q99638,,RAD9A,,806.554
Q99643,Q99643,,SDHC,,10032.9
Q99653,Q99653,,CHP1,,6964.44
Q99683,Q99683,,MAP3K5,,1447.37
Q99685,Q99685,,MGLL,,
Q99698,Q99698,,LYST,,678.003
Q99700,Q99700,,ATXN2,,7902.77
Q99707,Q99707,,MTR,,5905.6
Q99714,Q99714,,HSD17B10,,105337
Q99719,Q99719,,SEPTIN5,,10359
Q99720,Q99720,,SIGMAR1,,1697.88
Q99729,Q99729,,HNRNPAB,,34573.7
Q99733,Q99733,,NAP1L4,,59340.3
Q99735,Q99735,,MGST2,,62463.9
Q99747,Q99747,,NAPG,,13616.6
Q99755,Q99755,,PIP5K1A,,1561.43
Q99757,Q99757,,TXN2,,
Q99758,Q99758,,ABCA3,,2291.29
Q99766,Q99766,,DMAC2L,,5361.68
Q99797,Q99797,,MIPEP,,7035.42
Q99798,Q99798,,ACO2,,100627
Q99805,Q99805,,TM9SF2,,6891.18
Q99807,Q99807,,COQ7,,5811.84
Q99808,Q99808,,SLC29A1,,5708.27
Q99816,Q99816,,TSG101,,13649
Q99828,Q99828,,CIB1,,3798.39
Q99829,Q99829,,CPNE1,,20124.8
Q99832,Q99832,,CCT7,,43558.1
Q99836,Q99836,,MYD88,,2434.66
Q99848,Q99848,,EBNA1BP2,,6962.73
Q99856,Q99856,,ARID3A,,
Q99873,Q99873,,PRMT1,,19605.3
Q99895,Q99895,,CTRC,,25277.6
Q99933,Q99933,,BAG1,,8683.95
Q99943,Q99943,,AGPAT1,,12790.2
Q99959,Q99959,,PKP2,,12955.2
Q99961,Q99961,,SH3GL1,,11394.1
Q99962,Q99962,,SH3GL2,,56406.6
Q99969,Q99969,,RARRES2,,1264.05
Q99973,Q99973,,TEP1,,
Q99986,Q99986,,VRK1,,2982.72
Q99988,Q99988,,GDF15,,
Q99996,Q99996,,AKAP9,,8599.05
Q9BPW8,Q9BPW8,,NIPSNAP1,,60905.4
Q9BPX5,Q9BPX5,,ARPC5L,,13907.6
Q9BPX6,Q9BPX6,,MICU1,,3078.83
Q9BPX7,Q9BPX7,,C7orf25,,2921.95
Q9BPY3,Q9BPY3,,FAM118B,,
Q9BPZ7,Q9BPZ7,,MAPKAP1,,827.87
Q9BQ04,Q9BQ04,,RBM4B,,806.78
Q9BQ13,Q9BQ13,,KCTD14,,11679.1
Q9BQ39,Q9BQ39,,DDX50,,3879.22
Q9BQ48,Q9BQ48,,MRPL34,,7064.1
Q9BQ52,Q9BQ52,,ELAC2,,5057.7
Q9BQ61,Q9BQ61,,TRIR,,1672.36
Q9BQ67,Q9BQ67,,GRWD1,,4837.85
Q9BQ69,Q9BQ69,,MACROD1,,10986
Q9BQ70,Q9BQ70,,TCF25,,5206.48
Q9BQ95,Q9BQ95,,ECSIT,,3342.86
Q9BQA1,Q9BQA1,,WDR77,,5648.11
Q9BQA9,Q9BQA9,,CYBC1,,6213.03
Q9BQB6,Q9BQB6,,VKORC1,,
Q9BQC3,Q9BQC3,,DPH2,,1180.31
Q9BQC6,Q9BQC6,,MRPL57,,2616.09
Q9BQD3,Q9BQD3,,KXD1,,2287.78
Q9BQE3,Q9BQE3,,TUBA1C,,301803
Q9BQE4,Q9BQE4,,SELENOS,,3006.16
Q9BQE5,Q9BQE5,,APOL2,,19209.5
Q9BQF6,Q9BQF6,,SENP7,,2137.23
Q9BQG0,Q9BQG0,,MYBBP1A,,6393.32
Q9BQG2,Q9BQG2,,NUDT12,,6430.88
Q9BQI9,Q9BQI9,,NRIP2,,1666.68
Q9BQK8,Q9BQK8,,LPIN3,,1027.38
Q9BQL6,Q9BQL6,,FERMT1,,691.311
Q9BQQ3,Q9BQQ3,,GORASP1,,2625.18
Q9BQS8,Q9BQS8,,FYCO1,,6823.69
Q9BQT8,Q9BQT8,,SLC25A21,,2724.93
Q9BQT9,Q9BQT9,,CLSTN3,,889.609
Q9BR61,Q9BR61,,ACBD6,,3511.94
Q9BR76,Q9BR76,,CORO1B,,42584.2
Q9BRA2,Q9BRA2,,TXNDC17,,53582.6
Q9BRD0,Q9BRD0,,BUD13,,1677.48
Q9BRF8,Q9BRF8,,CPPED1,,12550.1
Q9BRG1,Q9BRG1,,VPS25,,25354.4
Q9BRJ2,Q9BRJ2,,MRPL45,,6727.35
Q9BRJ6,Q9BRJ6,,C7orf50,,2357.38
Q9BRJ7,Q9BRJ7,,NUDT16L1,,2719.77
Q9BRK0,Q9BRK0,,REEP2,,3371.15
Q9BRK5,Q9BRK5,,SDF4,,12018.5
Q9BRL6,Q9BRL6,,SRSF8,,975.241
Q9BRP1,Q9BRP1,,PDCD2L,,4349.67
Q9BRP4,Q9BRP4,,PAAF1,,2327.13
Q9BRP8,Q9BRP8,,PYM1,,17890.4
Q9BRQ0,Q9BRQ0,,PYGO2,,1465
Q9BRQ6,Q9BRQ6,,CHCHD6,,20062.1
Q9BRQ8,Q9BRQ8,,AIFM2,,6122.52
Q9BRR3,Q9BRR3,,PGAP4,,4529.35
Q9BRR6,Q9BRR6,,ADPGK,,3901.16
Q9BRR8,Q9BRR8,,GPATCH1,,889.807
Q9BRS2,Q9BRS2,,RIOK1,,149.475
Q9BRS8,Q9BRS8,,LARP6,,
Q9BRT2,Q9BRT2,,UQCC2,,4587.23
Q9BRT3,Q9BRT3,,MIEN1,,
Q9BRT6,Q9BRT6,,LLPH,,3092.11
Q9BRU9,Q9BRU9,,UTP23,,373.51
Q9BRX2,Q9BRX2,,PELO,,8527.61
Q9BRX8,Q9BRX8,,PRXL2A,,21539.4
Q9BRZ2,Q9BRZ2,,TRIM56,,6132.68
Q9BS26,Q9BS26,,ERP44,,79100.2
Q9BS40,Q9BS40,,LXN,,7848.57
Q9BS92,Q9BS92,,NIPSNAP3B,,3097.69
Q9BSC4,Q9BSC4,,NOL10,,967.7
Q9BSD7,Q9BSD7,,NTPCR,,11821.8
Q9BSF4,Q9BSF4,,TIMM29,,8549.66
Q9BSG0,Q9BSG0,,PRADC1,,1515.6
Q9BSH4,Q9BSH4,,TACO1,,3679.29
Q9BSH5,Q9BSH5,,HDHD3,,18984.3
Q9BSJ2,Q9BSJ2,,TUBGCP2,,4712.49
Q9BSJ5,Q9BSJ5,,C17orf80,,18416.1
Q9BSJ8,Q9BSJ8,,ESYT1,,37004.4
Q9BSK2,Q9BSK2,,SLC25A33,,
Q9BSL1,Q9BSL1,,UBAC1,,3110.58
Q9BSQ5,Q9BSQ5,,CCM2,,3133.96
Q9BSR8,Q9BSR8,,YIPF4,,3300.76
Q9BST9,Q9BST9,,RTKN,,2792.54
Q9BSU1,Q9BSU1,,C16orf70,,1498.6
Q9BSV6,Q9BSV6,,TSEN34,,1388.53
Q9BSW7,Q9BSW7,,SYT17,,6892.61
Q9BT09,Q9BT09,,CNPY3,,9891.61
Q9BT17,Q9BT17,,MTG1,,7194.31
Q9BT22,Q9BT22,,ALG1,,5802.2
Q9BT23,Q9BT23,,LIMD2,,165.191
Q9BT30,Q9BT30,,ALKBH7,,1758.23
Q9BT40,Q9BT40,,INPP5K,,
Q9BT43,Q9BT43,,POLR3GL,,380.627
Q9BT73,Q9BT73,,PSMG3,,2422.09
Q9BT78,Q9BT78,,COPS4,,21404.8
Q9BT88,Q9BT88,,SYT11,,
Q9BTA9,Q9BTA9,,WAC,,1641.76
Q9BTC0,Q9BTC0,,DIDO1,,4611.88
Q9BTC8,Q9BTC8,,MTA3,,1681.93
Q9BTD8,Q9BTD8,,RBM42,,5418.23
Q9BTE3,Q9BTE3,,MCMBP,,4185.95
Q9BTE6,Q9BTE6,,AARSD1,,12153.8
Q9BTE7,Q9BTE7,,DCUN1D5,,2383.56
Q9BTM9,Q9BTM9,,URM1,,3141.95
Q9BTT0,Q9BTT0,,ANP32E,,36522.4
Q9BTT4,Q9BTT4,,MED10,,
Q9BTT6,Q9BTT6,,LRRC1,,4455.84
Q9BTU6,Q9BTU6,,PI4K2A,,5844.88
Q9BTV4,Q9BTV4,,TMEM43,,15011.3
Q9BTW9,Q9BTW9,,TBCD,,5844.41
Q9BTX1,Q9BTX1,,NDC1,,4234.92
Q9BTY2,Q9BTY2,,FUCA2,,4877.14
Q9BTY7,Q9BTY7,,HGH1,,3189.71
Q9BTZ2,Q9BTZ2,,DHRS4,,15255.8
Q9BU02,Q9BU02,,THTPA,,7011.93
Q9BU23,Q9BU23,,LMF2,,28849.1
Q9BU61,Q9BU61,,NDUFAF3,,9347.06
Q9BU68,Q9BU68,,PRR15L,,1549.14
Q9BU76,Q9BU76,,MMTAG2,,2990.58
Q9BU89,Q9BU89,,DOHH,,
Q9BUB7,Q9BUB7,,TMEM70,,14102.5
Q9BUD6,Q9BUD6,,SPON2,,1208.81
Q9BUE0,Q9BUE0,,MED18,,2245.67
Q9BUE6,Q9BUE6,,ISCA1,,10868.7
Q9BUF5,Q9BUF5,,TUBB6,,10714
Q9BUF7,Q9BUF7,,CRB3,,
Q9BUH6,Q9BUH6,,PAXX,,15560.9
Q9BUI4,Q9BUI4,,POLR3C,,1988.99
Q9BUJ0,Q9BUJ0,,ABHD14A,,2749.69
Q9BUJ2,Q9BUJ2,,HNRNPUL1,,27665.2
Q9BUK6,Q9BUK6,,MSTO1,,2562.87
Q9BUL5,Q9BUL5,,PHF23,,4340.74
Q9BUL8,Q9BUL8,,PDCD10,,19164.9
Q9BUL9,Q9BUL9,,RPP25,,2313.41
Q9BUN8,Q9BUN8,,DERL1,,15345.4
Q9BUP0,Q9BUP0,,EFHD1,,539.038
Q9BUP3,Q9BUP3,,HTATIP2,,8799.77
Q9BUQ8,Q9BUQ8,,DDX23,,16113.7
Q9BUR4,Q9BUR4,,WRAP53,,1507.58
Q9BUR5,Q9BUR5,,APOO,,21151.5
Q9BUT1,Q9BUT1,,BDH2,,12612.2
Q9BV10,Q9BV10,,ALG12,,2288.84
Q9BV19,Q9BV19,,C1orf50,,
Q9BV20,Q9BV20,,MRI1,,5772.11
Q9BV23,Q9BV23,,ABHD6,,
Q9BV35,Q9BV35,,SLC25A23,,1596.71
Q9BV38,Q9BV38,,WDR18,,5029
Q9BV40,Q9BV40,,VAMP8,,15478.9
Q9BV44,Q9BV44,,THUMPD3,,2808.78
Q9BV57,Q9BV57,,ADI1,,1887.16
Q9BV73,Q9BV73,,CEP250,,
Q9BV79,Q9BV79,,MECR,,8781.61
Q9BV86,Q9BV86,,NTMT1,,10001.7
Q9BVA0,Q9BVA0,,KATNB1,,1253.53
Q9BVA1,Q9BVA1,,TUBB2B,,53499.4
Q9BVA6,Q9BVA6,,FICD,,890.479
Q9BVC4,Q9BVC4,,MLST8,,917.421
Q9BVC5,Q9BVC5,,C2orf49,,3207.92
Q9BVC6,Q9BVC6,,TMEM109,,27949.8
Q9BVG4,Q9BVG4,,PBDC1,,18899.6
Q9BVG8,Q9BVG8,,KIFC3,,899.699
Q9BVG9,Q9BVG9,,PTDSS2,,161.621
Q9BVI4,Q9BVI4,,NOC4L,,
Q9BVJ6,Q9BVJ6,,UTP14A,,2697.9
Q9BVJ7,Q9BVJ7,,DUSP23,,4252.49
Q9BVK2,Q9BVK2,,ALG8,,
Q9BVK6,Q9BVK6,,TMED9,,130711
Q9BVL2,Q9BVL2,,NUP58,,6531.83
Q9BVL4,Q9BVL4,,SELENOO,,4587.23
Q9BVM2,Q9BVM2,,DPCD,,8101.77
Q9BVM4,Q9BVM4,,GGACT,,8750.71
Q9BVP2,Q9BVP2,,GNL3,,13005.5
Q9BVQ7,Q9BVQ7,,SPATA5L1,,1017.23
Q9BVS4,Q9BVS4,,RIOK2,,
Q9BVS5,Q9BVS5,,TRMT61B,,2346.49
Q9BVT8,Q9BVT8,,TMUB1,,7398.01
Q9BVV7,Q9BVV7,,TIMM21,,
Q9BW04,Q9BW04,,SARG,,10846.6
Q9BW27,Q9BW27,,NUP85,,4418.28
Q9BW30,Q9BW30,,TPPP3,,30610.7
Q9BW60,Q9BW60,,ELOVL1,,4027.08
Q9BW61,Q9BW61,,DDA1,,4682.39
Q9BW62,Q9BW62,,KATNAL1,,
Q9BW71,Q9BW71,,HIRIP3,,3261.02
Q9BW83,Q9BW83,,IFT27,,15678
Q9BW85,Q9BW85,,YJU2,,2643.38
Q9BW91,Q9BW91,,NUDT9,,15683.8
Q9BW92,Q9BW92,,TARS2,,7702.43
Q9BWD1,Q9BWD1,,ACAT2,,6665.2
Q9BWE0,Q9BWE0,,REPIN1,,3432.44
Q9BWF3,Q9BWF3,,RBM4,,19451.6
Q9BWG4,Q9BWG4,,SSBP4,,1316.28
Q9BWH2,Q9BWH2,,FUNDC2,,31450
Q9BWH6,Q9BWH6,,RPAP1,,2439.98
Q9BWJ5,Q9BWJ5,,SF3B5,,3489.85
Q9BWL3,Q9BWL3,,C1orf43,,
Q9BWM7,Q9BWM7,,SFXN3,,16826.8
Q9BWN1,Q9BWN1,,PRR14,,
Q9BWQ6,Q9BWQ6,,YIPF2,,
Q9BWS9,Q9BWS9,,CHID1,,22707.9
Q9BWU0,Q9BWU0,,SLC4A1AP,,4775.1
Q9BWW4,Q9BWW4,,SSBP3,,1729.26
Q9BX40,Q9BX40,,LSM14B,,3613.86
Q9BX46,Q9BX46,,RBM24,,
Q9BX59,Q9BX59,,TAPBPL,,5349.25
Q9BX66,Q9BX66,,SORBS1,,7465.84
Q9BX67,Q9BX67,,JAM3,,3836.34
Q9BX68,Q9BX68,,HINT2,,23943.6
Q9BX70,Q9BX70,,BTBD2,,1476.49
Q9BX95,Q9BX95,,SGPP1,,1167.41
Q9BX97,Q9BX97,,PLVAP,,3891.89
Q9BXB4,Q9BXB4,,OSBPL11,,
Q9BXB5,Q9BXB5,,OSBPL10,,2378.61
Q9BXC9,Q9BXC9,,BBS2,,2973.23
Q9BXF6,Q9BXF6,,RAB11FIP5,,866.937
Q9BXI6,Q9BXI6,,TBC1D10A,,5407.11
Q9BXJ8,Q9BXJ8,,TMEM120A,,2637.47
Q9BXJ9,Q9BXJ9,,NAA15,,7051.25
Q9BXK5,Q9BXK5,,BCL2L13,,5963.97
Q9BXM0,Q9BXM0,,PRX,,1567.1
Q9BXM9,Q9BXM9,,FSD1L,,4017.13
Q9BXN1,Q9BXN1,,ASPN,,
Q9BXP2,Q9BXP2,,SLC12A9,,7196.96
Q9BXP5,Q9BXP5,,SRRT,,46381
Q9BXP8,Q9BXP8,,PAPPA2,,1527.56
Q9BXR0,Q9BXR0,,QTRT1,,10347.8
Q9BXS4,Q9BXS4,,TMEM59,,1185.81
Q9BXS5,Q9BXS5,,AP1M1,,8141.47
Q9BXT2,Q9BXT2,,CACNG6,,19289.6
Q9BXU8,Q9BXU8,,FTHL17,,
Q9BXV9,Q9BXV9,,GON7,,929.04
Q9BXW6,Q9BXW6,,OSBPL1A,,
Q9BXW7,Q9BXW7,,HDHD5,,12503
Q9BXY0,Q9BXY0,,MAK16,,1003.74
Q9BY11,Q9BY11,,PACSIN1,,1947.09
Q9BY12,Q9BY12,,SCAPER,,
Q9BY32,Q9BY32,,ITPA,,4488.81
Q9BY41,Q9BY41,,HDAC8,,
Q9BY42,Q9BY42,,RTF2,,714.522
Q9BY43,Q9BY43,,CHMP4A,,3804.77
Q9BY44,Q9BY44,,EIF2A,,16932.2
Q9BY49,Q9BY49,,PECR,,2397
Q9BY50,Q9BY50,,SEC11C,,26340.1
Q9BY67,Q9BY67,,CADM1,,9192.7
Q9BY77,Q9BY77,,POLDIP3,,8386.5
Q9BY89,Q9BY89,,KIAA1671,,969.784
Q9BYB0,Q9BYB0,,SHANK3,,2087.44
Q9BYC5,Q9BYC5,,FUT8,,4204.88
Q9BYC9,Q9BYC9,,MRPL20,,1212.18
Q9BYD1,Q9BYD1,,MRPL13,,7719.96
Q9BYD2,Q9BYD2,,MRPL9,,6739.89
Q9BYD3,Q9BYD3,,MRPL4,,12488.8
Q9BYD6,Q9BYD6,,MRPL1,,16268.7
Q9BYE7,Q9BYE7,,PCGF6,,370.54
Q9BYF1,Q9BYF1,,ACE2,,2124.37
Q9BYG3,Q9BYG3,,NIFK,,2756.15
Q9BYG5,Q9BYG5,,PARD6B,,3644.92
Q9BYH1,Q9BYH1,,SEZ6L,,1521.92
Q9BYI3,Q9BYI3,,FAM126A,,1564.31
Q9BYJ9,Q9BYJ9,,YTHDF1,,3375.58
Q9BYK8,Q9BYK8,,HELZ2,,444.11
Q9BYM8,Q9BYM8,,RBCK1,,3998.76
Q9BYN0,Q9BYN0,,SRXN1,,
Q9BYN8,Q9BYN8,,MRPS26,,11365.8
Q9BYP7,Q9BYP7,,WNK3,,883.427
Q9BYT3,Q9BYT3,,STK33,,1467.4
Q9BYT8,Q9BYT8,,NLN,,2965.87
Q9BYV8,Q9BYV8,,CEP41,,2856.65
Q9BYW2,Q9BYW2,,SETD2,,330.099
Q9BYX4,Q9BYX4,,IFIH1,,1205.48
Q9BYZ8,Q9BYZ8,,REG4,,
Q9BZ23,Q9BZ23,,PANK2,,1809.1
Q9BZ29,Q9BZ29,,DOCK9,,4726.12
Q9BZ67,Q9BZ67,,FRMD8,,945.07
Q9BZ72,Q9BZ72,,PITPNM2,,920.374
Q9BZ95,Q9BZ95,,NSD3,,2878.98
Q9BZC1,Q9BZC1,,CELF4,,3817.84
Q9BZC7,Q9BZC7,,ABCA2,,1464.57
Q9BZE1,Q9BZE1,,MRPL37,,7237.11
Q9BZE4,Q9BZE4,,GTPBP4,,7559.89
Q9BZE9,Q9BZE9,,ASPSCR1,,12939.7
Q9BZF1,Q9BZF1,,OSBPL8,,8181.84
Q9BZF2,Q9BZF2,,OSBPL7,,
Q9BZF3,Q9BZF3,,OSBPL6,,2789.99
Q9BZF9,Q9BZF9,,UACA,,3318
Q9BZG1,Q9BZG1,,RAB34,,640.344
Q9BZG8,Q9BZG8,,DPH1,,1335.87
Q9BZH6,Q9BZH6,,WDR11,,4850.87
Q9BZI7,Q9BZI7,,UPF3B,,3140.68
Q9BZJ0,Q9BZJ0,,CRNKL1,,4502.1
Q9BZK7,Q9BZK7,,TBL1XR1,,5540.43
Q9BZL1,Q9BZL1,,UBL5,,13110
Q9BZL4,Q9BZL4,,PPP1R12C,,7580.81
Q9BZL6,Q9BZL6,,PRKD2,,
Q9BZQ6,Q9BZQ6,,EDEM3,,2919.78
Q9BZQ8,Q9BZQ8,,NIBAN1,,14488.3
Q9BZV1,Q9BZV1,,UBXN6,,30098.5
Q9BZX2,Q9BZX2,,UCK2,,3056.95
Q9BZZ5,Q9BZZ5,,API5,,47490.8
Q9C002,Q9C002,,NMES1,,22212.2
Q9C004,Q9C004,,SPRY4,,872.062
Q9C005,Q9C005,,DPY30,,2256.95
Q9C026,Q9C026,,TRIM9,,2560
Q9C035,Q9C035,,TRIM5,,
Q9C037,Q9C037,,TRIM4,,4521.22
Q9C040,Q9C040,,TRIM2,,7303.11
Q9C075,Q9C075,,KRT23,,244.059
Q9C0B0,Q9C0B0,,UNK,,3621.13
Q9C0B1,Q9C0B1,,FTO,,10681.1
Q9C0B5,Q9C0B5,,ZDHHC5,,3051.9
Q9C0C2,Q9C0C2,,TNKS1BP1,,15676.4
Q9C0C4,Q9C0C4,,SEMA4C,,
Q9C0C9,Q9C0C9,,UBE2O,,12009.7
Q9C0D3,Q9C0D3,,ZYG11B,,
Q9C0D9,Q9C0D9,,SELENOI,,8571.3
Q9C0E2,Q9C0E2,,XPO4,,5257.45
Q9C0E8,Q9C0E8,,LNPK,,23274.9
Q9C0F1,Q9C0F1,,CEP44,,4647.9
Q9C0H9,Q9C0H9,,SRCIN1,,6246.37
Q9C0I1,Q9C0I1,,MTMR12,,1345.52
Q9C0J8,Q9C0J8,,WDR33,,3411.91
Q9GZL7,Q9GZL7,,WDR12,,3887.75
Q9GZM5,Q9GZM5,,YIPF3,,11102.8
Q9GZM8,Q9GZM8,,NDEL1,,832.897
Q9GZN1,Q9GZN1,,ACTR6,,877.671
Q9GZN7,Q9GZN7,,ROGDI,,7981.35
Q9GZN8,Q9GZN8,,C20orf27,,2836.46
Q9GZP0,Q9GZP0,,PDGFD,,1556.87
Q9GZP4,Q9GZP4,,PITHD1,,26563.7
Q9GZP9,Q9GZP9,,DERL2,,
Q9GZQ3,Q9GZQ3,,COMMD5,,9001.73
Q9GZR7,Q9GZR7,,DDX24,,6481.95
Q9GZS1,Q9GZS1,,POLR1E,,221.508
Q9GZS3,Q9GZS3,,WDR61,,15057.4
Q9GZT3,Q9GZT3,,SLIRP,,29671.4
Q9GZT4,Q9GZT4,,SRR,,4426.08
Q9GZT6,Q9GZT6,,CCDC90B,,9940.36
Q9GZT8,Q9GZT8,,NIF3L1,,10874.9
Q9GZT9,Q9GZT9,,EGLN1,,3116.65
Q9GZU1,Q9GZU1,,MCOLN1,,
Q9GZU7,Q9GZU7,,CTDSP1,,
Q9GZU8,Q9GZU8,,PSME3IP1,,223.94
Q9GZX9,Q9GZX9,,TWSG1,,946.369
Q9GZY4,Q9GZY4,,COA1,,495.25
Q9GZY8,Q9GZY8,,MFF,,9254.8
Q9GZZ1,Q9GZZ1,,NAA50,,10546.2
Q9GZZ9,Q9GZZ9,,UBA5,,18865.2
Q9H000,Q9H000,,MKRN2,,990.969
Q9H008,Q9H008,,LHPP,,36667.4
Q9H019,Q9H019,,MTFR1L,,6245.29
Q9H061,Q9H061,,TMEM126A,,14907.2
Q9H074,Q9H074,,PAIP1,,5949.45
Q9H078,Q9H078,,CLPB,,8266.66
Q9H082,Q9H082,,RAB33B,,8869.84
Q9H089,Q9H089,,LSG1,,7623.15
Q9H098,Q9H098,,FAM107B,,2961.71
Q9H0A0,Q9H0A0,,NAT10,,7440.46
Q9H0B6,Q9H0B6,,KLC2,,22334.2
Q9H0C8,Q9H0C8,,ILKAP,,9424.27
Q9H0D6,Q9H0D6,,XRN2,,12278.8
Q9H0E2,Q9H0E2,,TOLLIP,,63582.6
Q9H0E3,Q9H0E3,,SAP130,,3260.51
Q9H0E9,Q9H0E9,,BRD8,,1872.99
Q9H0F6,Q9H0F6,,SHARPIN,,1003.17
Q9H0F7,Q9H0F7,,ARL6.00,,1274.71
Q9H0G5,Q9H0G5,,NSRP1,,951.073
